Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
VARDMNPOLY,Vardhman Polytex Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
VARROC,Varroc Engineering Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
VASCONEQ,Vascon Engineers Limited,Real Estate,Realty,Real Estate,Realty
VASWANI,Vaswani Industries Limited,Basic Materials,Metals,Steel,Metals & Mining
VBL,Varun Beverages Limited,Consumer Defensive,FMCG,Beverages,FMCG
VCL,Vaxtex Cotfab Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
VEDL,Vedanta Limited,Basic Materials,Metals,Metals & Mining,Metals & Mining
VEEDOL,Veedol Corporation Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
VENKEYS,Venky's (India) Limited,Consumer Defensive,FMCG,FMCG,FMCG
VENTIVE,Ventive Hospitality Limited,Consumer Cyclical,Services,Consumer Services,Services
VENUSPIPES,Venus Pipes & Tubes Limited,Basic Materials,Metals,Steel,Metals & Mining
VENUSREM,Venus Remedies Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
VERANDA,Veranda Learning Solutions Limited,Consumer Defensive,Education,Education & Training,Services
VERTOZ,Vertoz Limited,Technology,Software,Software - Infrastructure,IT
VESUVIUS,Vesuvius India Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
VETO,Veto Switchgears And Cables Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
VGL,VARVEE GLOBAL LIMITED,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
VGUARD,V-Guard Industries Limited,Industrials,Capital Goods,Consumer Electronics,Consumer Goods
VHL,Vardhman Holdings Limited,Financial Services,Finance,Credit Services,Banking & Finance
VHLTD,Viceroy Hotels Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
