Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
20MICRONS,20 Microns Limited,Basic Materials,Metals,Industrial Metals & Mining,Metals & Mining
21STCENMGM,21st Century Management Services Limited,Financial Services,Finance,Capital Markets,Banking & Finance
360ONE,360 ONE WAM LIMITED,Financial Services,Finance,Financial Services,Banking & Finance
3IINFOLTD,3i Infotech Limited,Technology,IT Services & Consulting,IT Services,IT
3MINDIA,3M India Limited,Industrials,Capital Goods,Electronics Manufacturing,Capital Goods
3PLAND,3P Land Holdings Limited,Real Estate,Realty,Real Estate Development,Realty
5PAISA,5Paisa Capital Limited,Financial Services,Finance,Financial Services,Banking & Finance
63MOONS,63 moons technologies limited,Technology,IT Services & Consulting,IT Services,IT
A2ZINFRA,A2Z Infra Engineering Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
AAATECH,AAA Technologies Limited,Technology,IT Services & Consulting,IT Services,IT
AADHARHFC,Aadhar Housing Finance Limited,Financial Services,Finance,Financial Services,Banking & Finance
AAKASH,Aakash Exploration Services Limited,Energy,Oil & Gas,Oil & Gas Equipment & Services,Oil & Gas
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
AARON,Aaron Industries Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
AARTECH,Aartech Solonics Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
AARTIDRUGS,Aarti Drugs Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
AARTIIND,Aarti Industries Limited,Consumer Defensive,FMCG,Agro Chemicals,FMCG
AARTIPHARM,Aarti Pharmalabs Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
AARTISURF,Aarti Surfactants Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AARVI,Aarvi Encon Limited,Consumer Defensive,Education,Recruitment Services,Services
AAVAS,Aavas Financiers Limited,Financial Services,Finance,Financial Services,Banking & Finance
ABAN,Aban Offshore Limited,Energy,Oil & Gas,Oil & Gas Drilling,Oil & Gas
ABB,ABB India Limited,Industrials,Capital Goods,Capital Goods,Capital Goods
ABBOTINDIA,Abbott India Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
ABCAPITAL,Aditya Birla Capital Limited,Financial Services,Finance,Financial Services,Banking & Finance
ABCOTS,A B Cotspin India Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
ABDL,Allied Blenders and Distillers Limited,Consumer Defensive,FMCG,Beverages - Alcoholic,FMCG
ABFRL,Aditya Birla Fashion and Retail Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
ABINFRA,A B Infrabuild Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
ABLBL,Aditya Birla Lifestyle Brands Limited,Consumer Cyclical,Services,Consumer Services,Services
ABMINTLLTD,ABM International Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ABREL,Aditya Birla Real Estate Limited,Real Estate,Realty,Real Estate Development,Realty
ABSLAMC,Aditya Birla Sun Life AMC Limited,Financial Services,Finance,Financial Services,Banking & Finance
ACC,ACC Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
ACCELYA,Accelya Solutions India Limited,Technology,Software,Software Products,IT
ACCURACY,Accuracy Shipping Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
ACE,Action Construction Equipment Limited,Industrials,Capital Goods,Industrial Machinery,Capital Goods
ACEINTEG,Ace Integrated Solutions Limited,Industrials,Services,Staffing & Employment Services,Services
ACI,Archean Chemical Industries Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ACL,Andhra Cements Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
ACMESOLAR,Acme Solar Holdings Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ACUTAAS,Acutaas Chemicals Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ADANIENSOL,Adani Energy Solutions Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ADANIENT,Adani Enterprises Limited,Basic Materials,Mining,Mining & Trading,Metals & Mining
ADANIGREEN,Adani Green Energy Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ADANIPORTS,Adani Ports and Special Economic Zone Limited,Industrials,Logistics,Ports & Marine,Logistics
ADANIPOWER,Adani Power Limited,Utilities,Power,Power Generation & Distribution,Energy & Power
ADFFOODS,ADF Foods Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
ADL,Archidply Decor Limited,Consumer Cyclical,Consumer Goods,"Furnishings, Fixtures & Appliances",Consumer Goods
ADOR,Ador Welding Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
ADROITINFO,Adroit Infotech Limited,Technology,IT Services & Consulting,IT Services,IT
ADSL,Allied Digital Services Limited,Technology,IT Services & Consulting,IT Services,IT
ADVANCE,Advance Agrolife Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
ADVENTHTL,Advent Hotels International Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
ADVENZYMES,Advanced Enzyme Technologies Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AEGISLOG,Aegis Logistics Limited,Energy,Oil & Gas,"Oil, Gas & Consumable Fuels",Oil & Gas
AEGISVOPAK,Aegis Vopak Terminals Limited,Energy,Oil & Gas,"Oil, Gas & Consumable Fuels",Oil & Gas
AEQUS,Aequs Limited,Industrials,Defence,Defence & Aerospace,Defence & Aerospace
AEROENTER,Aeroflex Enterprises Limited,Basic Materials,Metals,Steel,Metals & Mining
AEROFLEX,Aeroflex Industries Limited,Industrials,Capital Goods,Metal Fabrication,Capital Goods
AERONEU,Aeroflex Neu Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
AETHER,Aether Industries Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AFCONS,Afcons Infrastructure Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
AFFLE,Affle 3i Limited,Technology,IT Services & Consulting,IT Services,IT
AFFORDABLE,Affordable Robotic & Automation Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
AFIL,Akme Fintrade (India) Limited,Financial Services,Finance,Credit Services,Banking & Finance
AFSL,Abans Financial Services Limited,Financial Services,Finance,Capital Markets,Banking & Finance
AGARIND,Agarwal Industrial Corporation Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AGARWALEYE,Dr. Agarwal's Health Care Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
AGI,AGI Greenpac Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
AGIIL,Agi Infra Limited,Real Estate,Realty,Real Estate Development,Realty
AGRITECH,Agri-Tech (India) Limited,Consumer Defensive,FMCG,Farm Products,FMCG
AGROPHOS,Agro Phos India Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
AGSTRA,AGS Transact Technologies Limited,Financial Services,Finance,FinTech,Banking & Finance
AHCL,Anlon Healthcare Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
AHLADA,Ahlada Engineers Limited,Industrials,Capital Goods,Building Products & Equipment,Capital Goods
AHLEAST,Asian Hotels (East) Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
AHLUCONT,Ahluwalia Contracts (India) Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
AIAENG,AIA Engineering Limited,Industrials,Capital Goods,Capital Goods,Capital Goods
AIIL,Authum Investment & Infrastructure Limited,Financial Services,Finance,Financial Services,Banking & Finance
AIRAN,Airan Limited,Technology,IT Services & Consulting,IT Services,IT
AIROLAM,Airo Lam limited,Consumer Cyclical,Consumer Goods,"Furnishings, Fixtures & Appliances",Consumer Goods
AJANTPHARM,Ajanta Pharma Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
AJAXENGG,Ajax Engineering Limited,Industrials,Capital Goods,Farm & Heavy Construction Machinery,Capital Goods
AJMERA,Ajmera Realty & Infra India Limited,Real Estate,Realty,Real Estate Development,Realty
AJOONI,Ajooni Biotech Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
AKASH,Akash Infra-Projects Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
AKG,Akg Exim Limited,Industrials,Distribution,Industrial Distribution,Capital Goods
AKI,AKI India Limited,Consumer Cyclical,Retail,Footwear & Accessories,Textiles & Apparel
AKSHAR,Akshar Spintex Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
AKSHARCHEM,AksharChem India Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AKSHOPTFBR,Aksh Optifibre Limited,Technology,Hardware,Communication Equipment,IT
AKUMS,Akums Drugs and Pharmaceuticals Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
AKZOINDIA,Akzo Nobel India Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ALANKIT,Alankit Limited,Financial Services,Finance,Financial Services,Banking & Finance
ALBERTDAVD,Albert David Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
ALEMBICLTD,Alembic Limited,Real Estate,Realty,Real Estate Development,Realty
ALGOQUANT,Algoquant Fintech Limited,Financial Services,Finance,Capital Markets,Banking & Finance
ALICON,Alicon Castalloy Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
ALIVUS,Alivus Life Sciences Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
ALKALI,Alkali Metals Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ALKEM,Alkem Laboratories Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
ALKYLAMINE,Alkyl Amines Chemicals Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ALLCARGO,Allcargo Logistics Limited,Industrials,Logistics,Logistics,Logistics
ALLDIGI,Alldigi Tech Limited,Industrials,Services,Specialty Business Services,Services
ALLTIME,All Time Plastics Limited,Consumer Defensive,FMCG,Household & Personal Products,FMCG
ALMONDZ,Almondz Global Securities Limited,Financial Services,Finance,Capital Markets,Banking & Finance
ALOKINDS,Alok Industries Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
ALPA,Alpa Laboratories Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
ALPHAGEO,Alphageo (India) Limited,Energy,Oil & Gas,Oil & Gas Equipment & Services,Oil & Gas
AMANTA,Amanta Healthcare Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
AMBER,Amber Enterprises India Limited,Industrials,Capital Goods,Consumer Electronics,Consumer Goods
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Consumer Defensive,FMCG,Household & Personal Products,FMCG
AMBIKCO,Ambika Cotton Mills Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
AMBUJACEM,Ambuja Cements Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
AMDIND,AMD Industries Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
AMJLAND,Amj Land Holdings Limited,Real Estate,Realty,Real Estate Development,Realty
AMNPLST,Amines & Plasticizers Limited,Basic Materials,Chemicals,Chemicals,Chemicals
AMRUTANJAN,Amrutanjan Health Care Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
ANANDRATHI,Anand Rathi Wealth Limited,Financial Services,Finance,Financial Services,Banking & Finance
ANANTRAJ,Anant Raj Limited,Real Estate,Realty,Realty,Realty
ANDHRAPAP,ANDHRA PAPER LIMITED,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
ANDHRSUGAR,The Andhra Sugars Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ANGELONE,Angel One Limited,Financial Services,Finance,Financial Services,Banking & Finance
ANIKINDS,Anik Industries Limited,Consumer Defensive,FMCG,Food Distribution,FMCG
ANKITMETAL,Ankit Metal & Power Limited,Basic Materials,Metals,Steel,Metals & Mining
ANMOL,Anmol India Limited,Energy,Coal,Thermal Coal,Metals & Mining
ANSALAPI,Ansal Properties & Infrastructure Limited,Real Estate,Realty,Real Estate Development,Realty
ANTELOPUS,Antelopus Selan Energy Limited,Energy,Oil & Gas,Oil & Gas Exploration & Production,Oil & Gas
ANTGRAPHIC,Antarctica Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
ANTHEM,Anthem Biosciences Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
ANUHPHR,Anuh Pharma Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
ANUP,The Anup Engineering Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
ANURAS,Anupam Rasayan India Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
APARINDS,Apar Industries Limited,Industrials,Capital Goods,Electrical Equipment,Capital Goods
APCL,Anjani Portland Cement Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
APCOTEXIND,Apcotex Industries Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
APEX,Apex Frozen Foods Limited,Consumer Defensive,FMCG,Farm Products,FMCG
APLAPOLLO,APL Apollo Tubes Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
APLLTD,Alembic Pharmaceuticals Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
APOLLO,Apollo Micro Systems Limited,Industrials,Defence,Aerospace & Defence,Defence & Aerospace
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
APOLLOPIPE,Apollo Pipes Limited,Industrials,Capital Goods,Building Products & Equipment,Capital Goods
APOLLOTYRE,Apollo Tyres Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
APOLSINHOT,Apollo Sindoori Hotels Limited,Industrials,Services,Specialty Business Services,Services
APTECHT,Aptech Limited,Consumer Defensive,Education,Education & Training,Services
APTUS,Aptus Value Housing Finance India Limited,Financial Services,Finance,Non-Banking Finance,Banking & Finance
ARCHIDPLY,Archidply Industries Limited,Basic Materials,Forest Materials,Wood & Laminates,Wood & Laminates
ARCHIES,Archies Limited,Consumer Cyclical,Retail,Specialty Retail,Consumer Goods
ARE&M,Amara Raja Energy & Mobility Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
ARENTERP,Rajdarshan Industries Limited,Basic Materials,Metals,Industrial Metals & Mining,Metals & Mining
ARFIN,Arfin India Limited,Basic Materials,Metals,Aluminium,Metals & Mining
ARIES,Aries Agro Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
ARIHANTCAP,Arihant Capital Markets Limited,Financial Services,Finance,Capital Markets,Banking & Finance
ARIHANTSUP,Arihant Superstructures Limited,Real Estate,Realty,Real Estate Development,Realty
ARISINFRA,Arisinfra Solutions Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
ARKADE,Arkade Developers Limited,Real Estate,Realty,Real Estate Development,Realty
ARMANFIN,Arman Financial Services Limited,Financial Services,Finance,Credit Services,Banking & Finance
AROGRANITE,Aro Granite Industries Limited,Industrials,Capital Goods,Building Products & Equipment,Capital Goods
ARROWGREEN,Arrow Greentech Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
ARSHIYA,Arshiya Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Financial Services,Finance,Financial Conglomerates,Banking & Finance
ARTEMISMED,Artemis Medicare Services Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
ARTNIRMAN,Art Nirman Limited,Real Estate,Realty,Real Estate Development,Realty
ARVEE,Arvee Laboratories (India) Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ARVIND,Arvind Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
ARVINDFASN,Arvind Fashions Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
ARVSMART,Arvind SmartSpaces Limited,Real Estate,Realty,Real Estate Development,Realty
ASAHIINDIA,Asahi India Glass Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
ASAHISONG,Asahi Songwon Colors Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
ASAL,Automotive Stampings and Assemblies Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
ASALCBR,Associated Alcohols & Breweries Ltd.,Consumer Defensive,FMCG,Beverages - Alcoholic,FMCG
ASHAPURMIN,Ashapura Minechem Limited,Basic Materials,Metals,Industrial Metals & Mining,Metals & Mining
ASHIANA,Ashiana Housing Limited,Real Estate,Realty,Real Estate,Realty
ASHIMASYN,Ashima Limited,Real Estate,Realty,Real Estate Development,Realty
ASHOKA,Ashoka Buildcon Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
ASHOKAMET,Ashoka Metcast Limited,Basic Materials,Metals,Steel,Metals & Mining
ASHOKLEY,Ashok Leyland Limited,Consumer Cyclical,Automobile,Automobile,Auto
ASIANENE,Asian Energy Services Limited,Energy,Oil & Gas,Oil & Gas Equipment & Services,Oil & Gas
ASIANHOTNR,Asian Hotels (North) Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
ASIANPAINT,Asian Paints Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ASIANTILES,Asian Granito India Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
ASKAUTOLTD,ASK Automotive Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
ASMS,Bartronics India Limited,Technology,IT Services & Consulting,IT Services,IT
ASPINWALL,Aspinwall and Company Limited,Consumer Defensive,FMCG,Farm Products,FMCG
ASTEC,Astec LifeSciences Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
ASTERDM,Aster DM Healthcare Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
ASTRAL,Astral Limited,Industrials,Capital Goods,Capital Goods,Capital Goods
ASTRAMICRO,Astra Microwave Products Limited,Technology,Hardware,Hardware & Networking,IT
ASTRAZEN,AstraZeneca Pharma India Limited,Healthcare,Healthcare Services,Healthcare Services,Pharma & Healthcare
ASTRON,Astron Paper & Board Mill Limited,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
ATALREAL,Atal Realtech Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
ATAM,Atam Valves Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
ATGL,Adani Total Gas Limited,Energy,Oil & Gas,"Oil, Gas & Consumable Fuels",Oil & Gas
ATHERENERG,Ather Energy Limited,Consumer Cyclical,Automobile,Automobile,Auto
ATL,Allcargo Terminals Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
ATLANTAA,ATLANTAA LIMITED,Industrials,Infrastructure,Infrastructure Operations,Capital Goods
ATLANTAELE,Atlanta Electricals Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Consumer Cyclical,Hospitality,Leisure,Hospitality & Travel
ATUL,Atul Limited,Basic Materials,Chemicals,Chemicals,Chemicals
ATULAUTO,Atul Auto Limited,Consumer Cyclical,Automobile,Auto Manufacturers,Auto
AUBANK,AU Small Finance Bank Limited,Financial Services,Banking,Banks,Banking & Finance
AURIGROW,Auri Grow India Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
AURIONPRO,Aurionpro Solutions Limited,Technology,Software,Software Products,IT
AUROPHARMA,Aurobindo Pharma Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
AURUM,Aurum PropTech Limited,Real Estate,Realty,Real Estate Services,Realty
AUSOMENT,Ausom Enterprise Limited,Financial Services,Finance,Capital Markets,Banking & Finance
AUTOAXLES,Automotive Axles Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
AUTOIND,Autoline Industries Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
AVADHSUGAR,Avadh Sugar & Energy Limited,Consumer Defensive,FMCG,Confectioners,FMCG
AVALON,Avalon Technologies Limited,Industrials,Capital Goods,Electronics Manufacturing,Capital Goods
AVANTEL,Avantel Limited,Technology,Hardware,Communication Equipment,IT
AVANTIFEED,Avanti Feeds Limited,Consumer Defensive,FMCG,Packaged Foods,FMCG
AVG,AVG Logistics Limited,Industrials,Logistics,Integrated Freight & Logistics,Logistics
AVL,Aditya Vision Limited,Consumer Cyclical,Retail,Specialty Retail,Consumer Goods
AVONMORE,Avonmore Capital & Management Services Limited,Financial Services,Finance,Capital Markets,Banking & Finance
AVROIND,AVRO INDIA LIMITED,Consumer Cyclical,Consumer Goods,"Furnishings, Fixtures & Appliances",Consumer Goods
AVTNPL,AVT Natural Products Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
AWFIS,Awfis Space Solutions Limited,Industrials,Services,Rental & Leasing Services,Services
AWHCL,Antony Waste Handling Cell Limited,Industrials,Environment,Waste Management,Capital Goods
AWL,AWL Agri Business Limited,Consumer Defensive,FMCG,FMCG,FMCG
AXISBANK,Axis Bank Limited,Financial Services,Banking,Banks,Banking & Finance
AXISCADES,AXISCADES Technologies Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
AXITA,Axita Cotton Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
AYMSYNTEX,AYM Syntex Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
AZAD,Azad Engineering Limited,Industrials,Capital Goods,Specialty Industrial Machinery,Capital Goods
BAFNAPH,Bafna Pharmaceuticals Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
BAGFILMS,B.A.G Films and Media Limited,Communication Services,Media,Broadcasting,Media & Telecom
BAIDFIN,Baid Finserv Limited,Financial Services,Finance,Credit Services,Banking & Finance
BAJAJ-AUTO,Bajaj Auto Limited,Consumer Cyclical,Automobile,Automobile,Auto
BAJAJCON,Bajaj Consumer Care Limited,Consumer Defensive,FMCG,FMCG,FMCG
BAJAJELEC,Bajaj Electricals Limited,Industrials,Capital Goods,Consumer Electronics,Consumer Goods
BAJAJFINSV,Bajaj Finserv Limited,Financial Services,Finance,Financial Services,Banking & Finance
BAJAJHCARE,Bajaj Healthcare Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
BAJAJHFL,Bajaj Housing Finance Limited,Financial Services,Finance,Non-Banking Finance,Banking & Finance
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Consumer Defensive,FMCG,Confectioners,FMCG
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Financial Services,Finance,Financial Services,Banking & Finance
BAJAJINDEF,Indef Manufacturing Limited,Industrials,Capital Goods,Farm & Heavy Construction Machinery,Capital Goods
BAJEL,Bajel Projects Limited,Utilities,Power,Regulated Electric Utilities,Energy & Power
BAJFINANCE,Bajaj Finance Limited,Financial Services,Finance,Non-Banking Finance,Banking & Finance
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
BALAJITELE,Balaji Telefilms Limited,Communication Services,Media,Entertainment,Media & Telecom
BALAMINES,Balaji Amines Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Healthcare,Pharma,Biotechnology,Pharma & Healthcare
BALKRISHNA,Balkrishna Paper Mills Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
BALKRISIND,Balkrishna Industries Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
BALMLAWRIE,Balmer Lawrie & Company Limited,Industrials,Diversified,Conglomerates,Capital Goods
BALPHARMA,Bal Pharma Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
BALRAMCHIN,Balrampur Chini Mills Limited,Consumer Defensive,FMCG,FMCG,FMCG
BALUFORGE,Balu Forge Industries Limited,Industrials,Capital Goods,Metal Fabrication,Capital Goods
BANARBEADS,Banaras Beads Limited,Consumer Cyclical,Retail,Footwear & Accessories,Textiles & Apparel
BANARISUG,Bannari Amman Sugars Limited,Consumer Defensive,FMCG,Confectioners,FMCG
BANCOINDIA,Banco Products (I) Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
BANDHANBNK,Bandhan Bank Limited,Financial Services,Banking,Banks,Banking & Finance
BANG,Bang Overseas Limited,Consumer Cyclical,Textile,Apparel Manufacturing,Textiles & Apparel
BANKA,Banka BioLoo Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
BANKBARODA,Bank of Baroda,Financial Services,Banking,Banks,Banking & Finance
BANKINDIA,Bank of India,Financial Services,Banking,Banks,Banking & Finance
BANSALWIRE,Bansal Wire Industries Limited,Basic Materials,Metals,Steel,Metals & Mining
BANSWRAS,Banswara Syntex Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
BASF,BASF India Limited,Basic Materials,Chemicals,Chemicals,Chemicals
BASML,Bannari Amman Spinning Mills Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
BATAINDIA,Bata India Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
BAYERCROP,Bayer Cropscience Limited,Basic Materials,Chemicals,Chemicals,Chemicals
BBL,Bharat Bijlee Limited,Industrials,Capital Goods,Electrical Equipment,Capital Goods
BBOX,Black Box Limited,Technology,Software,Software - Application,IT
BBTC,Bombay Burmah Trading Corporation Limited,Consumer Defensive,FMCG,FMCG,FMCG
BBTCL,B&B Triplewall Containers Limited,Consumer Cyclical,Packaging,Packaging & Containers,Packaging
BCG,Brightcom Group Limited,Communication Services,Media,Advertising Agencies,Media & Telecom
BCLIND,Bcl Industries Limited,Consumer Defensive,FMCG,Beverages - Alcoholic,FMCG
BCONCEPTS,Brand Concepts Limited,Consumer Cyclical,Retail,Footwear & Accessories,Textiles & Apparel
BDL,Bharat Dynamics Limited,Industrials,Capital Goods,Capital Goods,Capital Goods
BEARDSELL,Beardsell Limited,Industrials,Capital Goods,Building Products & Equipment,Capital Goods
BECTORFOOD,Mrs. Bectors Food Specialities Limited,Consumer Defensive,FMCG,FMCG,FMCG
BEDMUTHA,Bedmutha Industries Limited,Basic Materials,Metals,Steel,Metals & Mining
BEL,Bharat Electronics Limited,Industrials,Capital Goods,Electronics Manufacturing,Capital Goods
BELLACASA,Bella Casa Fashion & Retail Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
BELRISE,Belrise Industries Limited,Consumer Cyclical,Automobile,Auto Parts & Components,Auto
BEML,BEML Limited,Industrials,Capital Goods,Industrial Machinery,Capital Goods
BEPL,Bhansali Engineering Polymers Limited,Basic Materials,Chemicals,Chemicals,Chemicals
BERGEPAINT,Berger Paints (I) Limited,Consumer Cyclical,Consumer Goods,Consumer Durables,Consumer Goods
BESTAGRO,Best Agrolife Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
BETA,Beta Drugs Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
BFINVEST,BF Investment Limited,Financial Services,Finance,Asset Management,Banking & Finance
BFUTILITIE,BF Utilities Limited,Industrials,Infrastructure,Infrastructure Operations,Capital Goods
BGRENERGY,BGR Energy Systems Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,Basic Materials,Chemicals,Agricultural Inputs,Chemicals
